fecha,SO2_Media,SO2_Mediana,SO2_Max,SO2_Min,PART_Media,PART_Mediana,PART_Max,PART_Min,NO2_Media,NO2_Mediana,NO2_Max,NO2_Min,CO_Media,CO_Mediana,CO_Max,CO_Min,O3_Media,O3_Mediana,O3_Max,O3_Min
2019-01-01,8.166666666666666,8.0,13.0,5.0,45.90909090909091,42.0,86.0,10.0,68.08333333333333,67.5,132.0,12.0,964.6944444444445,933.5,2020.0,368.0,,,,
2019-01-02,10.958333333333334,8.0,53.0,6.0,34.8125,36.0,50.0,15.0,70.86805555555556,69.0,133.0,21.0,823.4583333333334,826.0,1479.0,426.0,,,,
2019-01-03,10.819444444444445,9.0,43.0,6.0,42.11805555555556,40.0,93.0,20.0,72.53472222222223,72.0,124.0,19.0,818.9930555555555,759.5,1840.0,368.0,,,,
2019-01-04,10.86111111111111,9.0,55.0,6.0,37.59722222222222,39.0,55.0,17.0,68.13888888888889,65.0,121.0,29.0,781.4236111111111,708.5,1605.0,354.0,,,,
2019-01-05,14.444444444444445,10.0,60.0,6.0,45.49305555555556,42.0,81.0,25.0,80.24305555555556,75.5,172.0,42.0,988.4375,898.5,2761.0,487.0,,,,
2019-01-06,8.805555555555555,8.0,15.0,6.0,40.923611111111114,40.5,175.0,16.0,65.06944444444444,66.0,120.0,21.0,887.0486111111111,885.0,1843.0,423.0,,,,
2019-01-07,12.694444444444445,9.0,55.0,6.0,34.6875,34.0,73.0,18.0,71.22916666666667,66.0,135.0,29.0,816.5833333333334,723.5,2138.0,479.0,,,,
2019-01-08,12.9375,12.0,35.0,7.0,53.708333333333336,47.5,109.0,24.0,85.73611111111111,78.0,159.0,35.0,1063.4722222222222,859.0,2729.0,505.0,,,,
2019-01-09,13.552,11.0,39.0,7.0,51.56944444444444,56.0,85.0,12.0,86.936,83.0,167.0,53.0,1181.152,1015.0,2534.0,615.0,,,,
2019-01-10,8.6875,7.0,27.0,4.0,30.9375,31.0,64.0,11.0,67.52777777777777,66.0,148.0,18.0,851.7291666666666,748.5,2247.0,491.0,,,,
2019-01-11,8.180555555555555,7.0,36.0,4.0,39.888888888888886,37.0,90.0,19.0,69.0625,72.0,129.0,17.0,876.4375,812.0,1740.0,510.0,,,,
