FECHA-HORA,SO2,PART,NO2,CO,O3
01/01/18-00:10,4,34,8,126,61
01/01/18-00:20,5,32,10,124,60
01/01/18-00:30,5,32,7,115,62
01/01/18-00:40,5,32,9,124,62
01/01/18-00:50,4,32,16,164,53
01/01/18-01:00,4,32,22,180,48
01/01/18-01:10,5,23,25,223,43
01/01/18-01:20,5,23,33,297,36
01/01/18-01:30,5,23,35,315,36
01/01/18-01:40,4,23,23,216,47
01/01/18-01:50,4,23,19,168,46
01/01/18-02:00,4,23,23,189,39
01/01/18-02:10,4,38,23,208,38
01/01/18-02:20,5,39,26,166,30
01/01/18-02:30,5,39,29,191,28
01/01/18-02:40,5,39,24,212,31
01/01/18-02:50,4,39,20,201,34
01/01/18-03:00,4,39,25,201,24
01/01/18-03:10,5,35,32,208,28
01/01/18-03:20,4,35,21,169,34
01/01/18-03:30,4,35,17,162,39
01/01/18-03:40,5,35,16,164,34
01/01/18-03:50,4,35,16,166,32
01/01/18-04:00,5,35,18,162,26
01/01/18-04:10,5,27,20,144,26
01/01/18-04:20,4,27,22,205,28
01/01/18-04:30,5,27,32,273,13
01/01/18-04:40,5,27,37,248,13
01/01/18-04:50,4,27,29,207,23
01/01/18-05:00,5,27,17,164,34
01/01/18-05:10,5,33,12,160,36
01/01/18-05:20,5,33,12,122,36
01/01/18-05:30,5,33,9,133,47
01/01/18-05:40,4,33,7,126,46
01/01/18-05:50,6,33,8,99,43
01/01/18-06:00,5,33,8,98,36
01/01/18-06:10,5,17,19,135,26
01/01/18-06:20,5,16,20,136,24
01/01/18-06:30,4,16,20,147,23
01/01/18-06:40,5,16,19,130,24
01/01/18-06:50,5,16,18,124,21
01/01/18-07:00,5,16,19,153,21
01/01/18-07:10,4,20,26,163,15
01/01/18-07:20,5,20,25,153,18
01/01/18-07:30,4,20,23,124,19
01/01/18-07:40,5,20,24,133,16
01/01/18-07:50,5,20,25,129,14
01/01/18-08:00,5,20,24,134,16
01/01/18-08:10,5,16,21,129,23
01/01/18-08:20,4,16,19,126,23
01/01/18-08:30,5,16,19,127,22
01/01/18-08:40,5,16,21,125,17
01/01/18-08:50,4,16,28,124,13
01/01/18-09:00,5,16,27,132,15
01/01/18-09:10,5,16,23,118,22
01/01/18-09:20,5,16,21,122,27
01/01/18-09:30,4,16,17,126,27
01/01/18-09:40,5,16,16,124,28
01/01/18-09:50,5,16,21,145,28
01/01/18-10:00,5,16,20,122,33
01/01/18-10:10,5,18,20,122,34
01/01/18-10:20,5,18,19,112,36
01/01/18-10:30,5,18,22,85,35
01/01/18-10:40,5,18,24,85,36
01/01/18-10:50,4,18,22,90,39
01/01/18-11:00,5,18,19,122,45
01/01/18-11:10,5,14,17,117,46
01/01/18-11:20,4,14,17,95,47
01/01/18-11:30,6,14,17,81,45
01/01/18-11:40,6,14,17,90,49
01/01/18-11:50,5,14,12,89,58
01/01/18-12:00,5,14,13,89,59
01/01/18-12:10,4,13,13,113,61
01/01/18-12:20,5,13,11,87,65
01/01/18-12:30,5,13,11,110,66
01/01/18-12:40,4,13,12,108,68
01/01/18-12:50,5,13,10,84,71
01/01/18-13:00,4,13,10,101,72
01/01/18-13:10,4,13,9,113,73
01/01/18-13:20,4,13,7,81,74
01/01/18-13:30,4,13,7,94,75
01/01/18-13:40,5,13,7,92,76
01/01/18-13:50,6,13,7,88,78
01/01/18-14:00,4,13,8,87,78
01/01/18-14:10,5,15,8,93,80
01/01/18-14:20,5,15,9,86,82
01/01/18-14:30,4,15,10,111,85
01/01/18-14:40,5,15,9,94,87
01/01/18-14:50,5,15,10,111,89
01/01/18-15:00,5,15,11,126,93
01/01/18-15:10,5,12,12,134,89
01/01/18-15:20,4,12,9,110,90
01/01/18-15:30,4,12,8,85,91
01/01/18-15:40,4,12,7,87,89
01/01/18-15:50,4,12,5,92,86
01/01/18-16:00,6,12,5,88,85
01/01/18-16:10,5,12,5,90,84
01/01/18-16:20,4,12,6,91,84
01/01/18-16:30,5,12,6,94,84
01/01/18-16:40,5,12,8,98,81
01/01/18-16:50,5,12,9,117,80
01/01/18-17:00,5,12,11,130,77
01/01/18-17:10,4,12,9,96,80
01/01/18-17:20,5,12,10,123,76
01/01/18-17:30,5,12,12,124,72
01/01/18-17:40,4,12,13,128,69
01/01/18-17:50,5,12,17,160,64
01/01/18-18:00,5,12,23,219,56
01/01/18-18:10,5,12,28,209,54
01/01/18-18:20,4,12,22,162,61
01/01/18-18:30,5,12,15,121,61
01/01/18-18:40,5,12,30,127,44
01/01/18-18:50,5,12,42,164,40
01/01/18-19:00,5,12,40,136,34
01/01/18-19:10,5,16,64,125,13
01/01/18-19:20,5,16,64,128,12
01/01/18-19:30,5,16,68,163,9
01/01/18-19:40,5,16,70,160,6
01/01/18-19:50,5,16,69,256,10
01/01/18-20:00,6,16,70,337,9
01/01/18-20:10,6,33,66,368,8
01/01/18-20:20,5,34,61,348,8
01/01/18-20:30,5,34,63,404,9
01/01/18-20:40,5,34,61,407,8
01/01/18-20:50,5,34,57,424,6
